timestamp,heartbeat,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54
datetime,float,int,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
T,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-15 15:55:44,141,0,24.75,-9.52021,-1.72918,4.71424,-9.61794,-1.61587,4.79409,0.782889,-0.28316,-0.375533,51.6391,4.57277,-12.6951,0.642804,-0.503992,-0.344337,0.462847,31.875,-0.882829,6.20752,-4.4855,-0.92769,6.21371,-3.41157,0.424546,0.194864,-0.623533,17.835,-29.793,32.9976,0.513996,-0.736824,-0.375491,-0.227826,31.1875,12.4347,2.64932,0.635152,13.8521,2.69464,-0.240203,-1.42487,-0.193403,-1.04652,-42.5809,-15.3871,7.94245,0.49187,-0.511344,0.60523,-0.360955
2016-11-15 15:55:45,141,0,24.75,-8.74184,0.599191,2.71671,-8.95175,0.612693,2.90093,-1.46009,0.486857,-1.36263,50.2167,8.49586,-12.4535,0.617119,-0.491171,-0.370357,0.490664,31.875,-2.38334,8.40032,-3.90028,-2.70472,8.78431,-3.96765,0.528822,0.830039,-0.708468,17.3283,-26.1674,36.9216,0.478329,-0.728195,-0.437856,-0.221849,31.1875,9.78111,5.02869,4.22059,10.2389,4.09177,5.01128,2.29559,0.755374,-1.86205,-38.3375,-22.8076,8.24965,0.515038,-0.568535,0.544198,-0.339637
2016-11-15 15:55:46,141,0,24.75,-5.43661,-2.87795,2.89341,-5.23078,-2.94832,2.67842,0.941725,-0.387396,-1.57507,48.4764,16.4083,-10.3983,0.581922,-0.446877,-0.425806,0.529487,31.875,-4.33094,7.13485,-2.65366,-4.33157,6.14684,-4.07128,0.538507,0.512832,-0.0881288,15.738,-24.5624,38.1705,0.454943,-0.715238,-0.480319,-0.225288,31.1875,6.92784,5.23945,3.84272,6.94812,5.60314,4.69092,-0.360036,1.82254,-1.69755,-31.3471,-29.0872,5.30305,0.561835,-0.615344,0.419953,-0.35963
2016-11-15 15:55:47,141,0,24.75,-15.7928,-2.6934,5.93211,-14.7617,-3.07298,5.75389,2.94596,-1.24075,-0.936374,45.0216,20.8051,-20.5228,0.511755,-0.438959,-0.372422,0.637749,31.875,-10.8063,14.9018,-9.80471,-10.3791,14.5729,-8.09071,-0.0211232,-1.32687,1.3121,15.0826,-24.4099,38.7291,0.44796,-0.735291,-0.457712,-0.221763,31.1875,9.20785,5.36008,-8.05883,9.62183,5.21228,-6.18911,-3.10389,0.849517,0.05143,-26.5159,-29.1096,-7.87031,0.685165,-0.526884,0.373205,-0.337136
2016-11-15 15:55:48,141,0,24.75,-3.53608,3.84416,9.48054,-4.97608,4.27528,9.66909,1.8777,-0.524416,1.64644,44.3396,12.7688,-29.9214,0.474594,-0.495207,-0.222562,0.692818,31.875,-2.54781,6.73357,-5.44668,-3.58724,8.68284,-5.54944,-1.75101,-3.38157,1.09382,22.3138,-28.1529,33.1605,0.520865,-0.769879,-0.334674,-0.154854,31.1875,4.22659,-0.794936,-8.38043,5.2324,1.66706,-10.256,-3.49816,-4.33163,-0.550401,-33.1937,-17.8492,-13.2965,0.731035,-0.380795,0.52506,-0.211885
2016-11-15 15:55:49,141,0,24.75,-1.87144,15.3071,7.19605,-0.617572,13.1378,8.27104,2.84332,-1.82266,2.25303,41.2275,-0.72055,-37.051,0.498987,-0.516625,-0.0546924,0.693628,31.875,6.14927,5.14763,-7.49106,5.53432,4.9948,-5.66055,-0.155908,-1.8125,1.10365,26.5457,-33.7158,23.7742,0.590428,-0.773952,-0.208154,-0.0952114,31.1875,-7.28896,4.77538,-26.1685,13.1837,-12.3779,-19.0466,3.5198,-1.57604,-3.01031,-38.3252,-18.7302,-5.93825,0.672275,-0.368049,0.637094,-0.0818332
2016-11-15 15:55:50,141,0,24.75,-11.6516,15.0425,2.97078,-12.6937,15.9688,3.14293,-0.454165,-0.607402,3.74491,35.5693,-11.59,-41.1731,0.615588,-0.47943,0.0450495,0.623834,31.875,7.26092,17.6364,-3.25221,7.96192,18.4196,-3.8227,0.284502,0.568249,0.249711,24.8777,-33.7829,23.481,0.569011,-0.802382,-0.157825,-0.0866061,31.1875,13.4959,5.44085,-7.28215,12.9039,6.75774,-4.57691,0.112986,-1.33129,-0.734115,-37.415,-22.2329,0.451461,0.637016,-0.370717,0.675087,-0.032212
2016-11-15 15:55:51,141,0,24.75,-5.65337,-4.16257,-0.915757,-5.55286,-3.29702,-1.26179,-0.468344,0.350954,0.663901,32.184,-17.4912,-42.8365,0.70228,-0.464238,0.0863415,0.532759,31.875,0.177155,6.94379,-0.906366,0.143796,8.42543,-0.132177,-0.781554,1.39618,-1.08432,24.1819,-33.115,26.0104,0.568301,-0.775642,-0.236287,-0.139935,31.1875,25.2717,-6.48349,-6.70149,24.7173,-3.70349,-2.42653,-1.16281,-0.195071,-1.72015,-35.2816,-25.6816,2.16495,0.627293,-0.383521,0.677414,0.0229046
2016-11-15 15:55:52,141,0,24.75,-8.71389,-1.75166,2.91749,-8.21625,-2.68552,2.25807,-0.459583,0.325425,-0.977086,35.3642,-14.5577,-41.5484,0.70901,-0.467352,0.0359098,0.526876,31.875,-1.73198,2.20749,-0.61579,-1.33538,1.27579,-0.944981,-0.973654,-1.08255,-0.641066,27.0854,-33.3468,21.9428,0.614023,-0.735977,-0.254306,-0.129005,31.1875,18.4376,-10.8222,-0.184424,19.3649,-8.66215,0.463271,-5.79937,-0.284136,-2.27594,-28.4915,-30.1581,-3.90475,0.636494,-0.370141,0.647968,0.194959
2016-11-15 15:55:53,141,0,24.75,-20.8313,9.94399,1.81132,-20.3083,8.04838,1.7033,5.1449,-1.21673,-3.59583,34.7269,-13.7786,-40.8957,0.606461,-0.499356,0.0470072,0.61696,31.875,-3.37866,17.2658,-7.47073,-4.69202,16.7747,-5.1868,1.03629,-1.33767,0.16539,30.3469,-32.9482,19.0022,0.627663,-0.744938,-0.215696,-0.0676893,31.1875,-1.72407,2.2195,-10.3125,-2.65347,3.93853,-6.589,3.91571,2.7459,2.88337,-26.0852,-30.4131,-6.02347,0.663782,-0.381446,0.609726,0.205248
